,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,,,,,,,,,,,,
Political_Campaigning,,,,,,,,,,,,
Privacy_Violation_Activity,,,,,,,,,,,,
Illegal_Activity,,,,,,,,,,,,
Economic_Harm,,,,,,,,,,,,
Adult_Content,,,,,,,,,,,,
Physical_Harm,,,,,,,,,,,,
Fraud_Deception,,,,,,,,,,,,
Tailored_Financial_Advice,,,,,,,,,,,,
harmless,,,,,,,,,,,,
Hate_Harass_Violence,,,,,,,,,,,,
Malware_Viruses,,,,,,,,,,,,
