,harmless,Physical_Harm,Adult_Content,Tailored_Financial_Advice,Malware_Viruses,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Child_Abuse,Hate_Harass_Violence,Fraud_Deception,Political_Campaigning
harmless,,,,,,,,,,,,
Physical_Harm,,,,,,,,,,,,
Adult_Content,,,,,,,,,,,,
Tailored_Financial_Advice,,,,,,,,,,,,
Malware_Viruses,,,,,,,,,,,,
Privacy_Violation_Activity,,,,,,,,,,,,
Illegal_Activity,,,,,,,,,,,,
Economic_Harm,,,,,,,,,,,,
Child_Abuse,,,,,,,,,,,,
Hate_Harass_Violence,,,,,,,,,,,,
Fraud_Deception,,,,,,,,,,,,
Political_Campaigning,,,,,,,,,,,,
