,Political_Campaigning,Malware_Viruses,Privacy_Violation_Activity,Child_Abuse,Physical_Harm,Hate_Harass_Violence,Fraud_Deception,Tailored_Financial_Advice,Illegal_Activity,harmless,Economic_Harm,Adult_Content
Political_Campaigning,,,,,,,,,,,,
Malware_Viruses,,,,,,,,,,,,
Privacy_Violation_Activity,,,,,,,,,,,,
Child_Abuse,,,,,,,,,,,,
Physical_Harm,,,,,,,,,,,,
Hate_Harass_Violence,,,,,,,,,,,,
Fraud_Deception,,,,,,,,,,,,
Tailored_Financial_Advice,,,,,,,,,,,,
Illegal_Activity,,,,,,,,,,,,
harmless,,,,,,,,,,,,
Economic_Harm,,,,,,,,,,,,
Adult_Content,,,,,,,,,,,,
